//Lorencia
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense			Rg	Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
154	1	"Magic Stone of %s"	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
155	1	"Magic Stone of %s"	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
156	1	"Magic Stone of %s"	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
157	1	"Magic Stone of %s"	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
158	1	"Magic Stone of %s"	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0

//Kalima 1
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
144	1	"Death Angel"		24	740	0	80	87	30	0	100	24	3	17	6	7	500	1500	10	2	160	0	3	0	11	11	11	11
145	1	"Death Centurion"	33	1250	0	110	117	50	0	145	39	3	17	6	7	500	1500	10	2	160	0	3	0	13	13	13	13
146	1	"Blood Soldier"		21	600	0	70	77	25	0	88	20	3	17	6	7	500	1500	10	2	180	0	3	0	10	10	10	10
147	1	"Aegis"			17	440	0	55	62	17	0	75	17	3	17	1	7	500	1500	10	2	180	0	3	0	8	8	8	8
148	1	"Lord Centurion"	19	500	0	60	67	20	0	80	18	3	17	2	5	500	1500	10	2	180	0	3	0	9	9	9	9
149	1	"Necron"		28	900	0	95	102	38	0	118	30	3	17	2	5	500	1500	10	2	160	0	3	0	12	12	12	12
160	1	"Schriker"		40	1800	0	130	137	66	0	180	50	3	17	6	7	500	1600	10	2	160	0	4	0	14	14	14	14
161	1	"Illusion of Kundun"	52	3000	0	165	172	90	0	255	70	3	150	10	7	800	1700	10800	2	140	0	4	0	30	30	30	30

//Kalima 2
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
174	1	"Death Angel"		40	1800	0	130	137	57	0	182	45	3	17	6	7	500	1500	10	2	160	0	3	0	14	14	14	14
175	1	"Death Centurion"	48	3000	0	155	162	81	0	235	58	3	17	6	7	500	1500	10	2	160	0	3	0	16	16	16	16
176	1	"Blood Soldier"		37	1400	0	120	127	50	0	163	40	3	17	6	7	500	1500	10	2	180	0	3	0	13	13	13	13
177	1	"Aegis"			32	1000	0	105	112	42	0	135	33	3	17	1	7	500	1500	10	2	180	0	3	0	11	11	11	11
178	1	"Lord Centurion"	34	1200	0	112	119	45	0	147	36	3	17	2	5	500	1500	10	2	180	0	3	0	12	12	12	12
179	1	"Necron"		44	2300	0	140	147	68	0	205	50	3	17	2	5	500	1500	10	2	160	0	3	0	15	15	15	15
180	1	"Schriker"		53	3900	0	180	187	100	0	275	67	3	17	6	7	500	1600	10	2	160	0	4	0	17	17	17	17
181	1	"Illusion of Kundun"	65	6000	0	220	227	140	0	355	100	3	150	10	7	800	1700	10800	2	140	0	4	0	35	35	35	35

//Kalima 3
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
185	1	"Aegis"			46	2700	0	145	155	73	0	220	54	3	17	1	7	500	1500	10	2	170	0	3	0	14	14	14	14
186	1	"Lord Centurion"	48	3100	0	152	162	80	0	232	56	3	17	2	5	500	1500	10	2	170	0	3	0	15	15	15	15
184	1	"Blood Soldier"		50	3650	0	160	170	90	0	250	60	3	17	6	7	500	1500	10	2	170	0	3	0	16	16	16	16
182	1	"Death Angel"		53	4400	0	175	185	105	0	273	67	3	17	6	7	500	1500	10	2	150	0	3	0	17	17	17	17
187	1	"Necron"		58	5300	0	195	205	126	0	296	77	3	17	2	5	500	1500	10	2	150	0	3	0	18	18	18	18
183	1	"Death Centurion"	63	6600	0	225	235	150	0	325	92	3	17	6	7	500	1500	10	2	150	0	3	0	19	19	19	19
188	1	"Schriker"		69	8400	0	260	270	180	0	365	110	3	17	6	7	500	1600	10	2	150	0	4	0	20	20	20	20
189	1	"Illusion of Kundun"	81	14000	0	350	360	255	0	460	160	3	150	10	7	800	1700	10800	2	130	0	4	0	40	40	40	40

//Kalima 4
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
193	1	"Aegis"			62	6000	0	215	235	140	0	310	87	3	17	1	7	500	1500	10	2	160	0	3	0	17	17	17	17
194	1	"Lord Centurion"	66	6900	0	230	250	150	0	330	95	3	17	2	5	500	1500	10	2	160	0	3	0	18	18	18	18
192	1	"Blood Soldier"		70	8800	0	245	265	165	0	360	105	3	17	6	7	500	1500	10	2	160	0	3	0	19	19	19	19
190	1	"Death Angel"		74	12000	0	270	295	185	0	397	120	3	17	6	7	500	1500	10	2	140	0	3	0	20	20	20	20
195	1	"Necron"		78	16000	0	305	330	215	0	440	145	3	17	2	5	500	1500	10	2	140	0	3	0	21	21	21	21
191	1	"Death Centurion"	83	22500	0	350	375	255	0	500	175	3	17	6	7	500	1500	10	2	140	0	3	0	22	22	22	22
196	1	"Schriker"		88	30000	0	410	435	300	0	575	215	3	17	6	7	500	1600	10	2	140	0	4	0	23	23	23	23
197	1	"Illusion of Kundun"	100	50000	0	600	625	500	0	780	295	3	150	10	7	800	1700	10800	2	120	0	4	0	45	45	45	45

//Kalima 5
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
263	1	"Aegis"			79	18000	0	310	340	230	0	460	163	3	17	1	7	500	1500	10	2	155	0	3	0	20	20	20	20
264	1	"Lord Centurion"	82	21000	0	335	365	250	0	490	168	3	17	2	5	500	1500	10	2	155	0	3	0	21	21	21	21
262	1	"Blood Soldier"		85	26000	0	365	395	280	0	540	177	3	17	6	7	500	1500	10	2	155	0	3	0	22	22	22	22
260	1	"Death Angel"		88	31000	0	408	443	315	0	587	195	3	17	6	7	500	1500	10	2	135	0	3	0	23	23	23	23
265	1	"Necron"		93	38500	0	470	505	370	0	645	220	3	17	2	5	500	1500	10	2	135	0	3	0	24	24	24	24
261	1	"Death Centurion"	98	48000	0	546	581	430	0	715	250	3	17	6	7	500	1500	10	2	135	0	3	0	25	25	25	25
266	1	"Schriker"		105	60000	0	640	675	515	0	810	290	3	17	6	7	500	1600	10	2	135	0	4	0	26	26	26	26
267	1	"Illusion of Kundun"	117	100000	0	835	870	680	0	1000	360	3	150	10	7	800	1700	10800	2	110	0	4	0	50	50	50	50

//Kalima 6
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
271	1	"Aegis"			95	42000	0	520	550	410	0	655	230	3	17	1	7	500	1500	10	2	150	0	3	0	23	23	23	23
272	1	"Lord Centurion"	98	48500	0	540	570	432	0	680	240	3	17	2	5	500	1500	10	2	150	0	3	0	24	24	24	24
270	1	"Blood Soldier"		101	56000	0	570	600	460	0	713	255	3	17	6	7	500	1500	10	2	150	0	3	0	25	25	25	25
268	1	"Death Angel"		105	65000	0	610	645	500	0	760	275	3	17	6	7	500	1500	10	2	130	0	3	0	26	26	26	26
273	1	"Necron"		109	75500	0	672	707	550	0	820	303	3	17	2	5	500	1500	10	2	130	0	3	0	27	27	27	27
269	1	"Death Centurion"	114	87500	0	753	788	620	0	900	335	3	17	6	7	500	1500	10	2	130	0	3	0	28	28	28	28
274	1	"Schriker"		119	105000	0	850	885	710	0	1000	370	3	17	6	7	500	1600	10	2	130	0	4	0	29	29	29	29
338	1	"Illusion of Kundun"	140	140000	0	1070	1105	892	0	1200	450	3	150	10	7	800	1700	10800	2	100	0	4	0	60	60	60	60

//Kalima 7
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
331	1	"Aegis"			111	82000	0	712	752	584	0	850	315	3	17	1	7	500	1500	10	2	150	0	3	0	23	23	23	23
332	1	"Lord Centurion"	114	88000	0	751	791	615	0	880	330	3	17	2	5	500	1500	10	2	150	0	3	0	24	24	24	24
333	1	"Blood Soldier"		117	97300	0	805	845	660	0	920	345	3	17	6	7	500	1500	10	2	150	0	3	0	25	25	25	25
334	1	"Death Angel"		121	110000	0	870	915	720	0	960	370	3	17	6	7	500	1500	10	2	130	0	3	0	26	26	26	26
335	1	"Necron"		125	125000	0	951	996	783	0	1015	405	3	17	2	5	500	1500	10	2	130	0	3	0	27	27	27	27
336	1	"Death Centurion"	130	145000	0	1040	1085	865	0	1080	440	3	17	6	7	500	1500	10	2	130	0	3	0	28	28	28	28
337	1	"Schriker"		135	170000	0	1168	1213	992	0	1190	485	3	17	6	7	500	1600	10	2	130	0	4	0	29	29	29	29
275	1	"Relics of Kundun"	147	5000000	0	2000	2500	1500	0	2000	1000	3	150	15	10	800	2000	43200	2	100	0	4	0	100	254	100	100

//Golden Monsters
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
42	1	"Red Dragon"		147	500000	0	2000	2500	1500	0	3000	2000	3	150	15	10	800	2000	3600	2	100	0	4	0	100	254	100	100
43	1	"Golden Budge Dragon"	15	4400	0	240	250	180	0	1150	60	3	0	1	7	400	1400	600	2	10	10	0	0	2	2	2	2
44	1	"Golden Dragon"		60	30000	0	380	420	240	0	1600	170	3	150	2	7	400	1800	100	2	50	10	0	0	9	7	9	9
78	1	"Golden Goblin"		20	6200	0	300	260	200	0	2000	2000	3	0	1	7	400	1400	600	2	10	10	0	0	2	2	2	2
54	1	"Golden Soldier"	46	7000	0	280	300	400	0	2000	2000	3	0	5	7	400	1800	20	2	200	14	3	0	3	3	3	3
53	1	"Golden Titan"		53	16000	0	340	360	750	0	2000	2500	3	150	3	7	400	2000	20	2	200	14	3	0	5	5	5	5
81	1	"Golden Vepar"		61	12600	0	380	400	1000	0	2000	3000	3	17	4	7	400	1600	8	2	185	14	3	0	0	0	3	0
83	1	"Golden Wheel"		77	30000	0	640	720	1500	0	2000	3000	3	0	4	7	400	1400	70	2	180	30	3	0	9	7	9	9
79	1	"Golden Dragon"		80	46000	0	800	1000	2000	0	3000	3000	3	150	2	7	400	1800	5	2	50	10	0	0	9	7	9	9
80	1	"Golden Lizard King"	83	50000	0	900	1200	2000	0	3500	3000	3	3	3	7	400	1600	15	2	175	14	3	0	9	7	9	9
82	1	"Golden Tantallos"	90	100000	0	1200	1500	2500	0	4000	4000	3	150	2	7	400	1400	70	2	180	30	3	0	9	7	9	9
493	1	"Golden Dark Knight"	115	70000	0	1408	1543	1430	0	2000	3000	3	0	2	7	800	1700	10	2	110	0	4	0	50	50	50	50
494	1	"Golden Devil"		95	16000	0	1310	1340	1230	0	2000	3000	3	0	2	7	500	1500	10	2	155	0	3	0	20	20	20	20
495	1	"Golden Blue Golem"	97	18000	0	1335	1365	1250	0	2000	3000	3	0	2	5	500	1500	10	2	155	0	3	0	21	21	21	21
496	1	"Golden Crust"		100	22000	0	1365	1395	1280	0	2000	3000	3	0	2	7	500	1500	10	2	155	0	3	0	22	22	22	22
497	1	"Golden Satyros"	103	32000	0	1408	1443	1315	0	2000	3000	3	0	1	7	500	1500	10	2	135	0	3	0	23	23	23	23
498	1	"Golden Twin Tail"	108	38500	0	1470	1505	1370	0	2000	3000	3	0	4	5	500	1500	10	2	135	0	3	0	24	24	24	24
499	1	"Golden Iron Knight"	113	43000	0	1546	1581	1430	0	2000	3000	3	0	2	7	500	1500	10	2	135	0	3	0	25	25	25	25
500	1	"Golden Napin"		120	48500	0	1640	1675	1515	0	2000	3000	3	0	2	7	500	1600	10	2	135	0	4	0	26	26	26	26
501	1	"Great Golden Dragon"	133	68000	0	1168	1213	1615	0	2000	3000	3	0	5	7	500	1600	10	2	130	0	4	0	29	29	29	29
502	1	"Golden Strange Rabbit"	135	87500	0	1830	1085	1865	0	2000	3000	3	0	4	7	500	1500	10	2	130	0	3	0	28	28	28	28

//Special Events Monsters
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
44	1	"Red Dragon"		60	15000	0	190	210	120	0	300	88	3	150	2	7	400	1800	100	2	50	10	0	0	9	7	9	9
55	1	"Death King"		30	1800	0	105	110	37	0	150	37	2	0	2	6	400	1800	20	2	200	14	3	0	2	2	2	2
56	1	"Death Bone"		24	700	0	85	90	29	0	120	29	3	0	1	5	400	1600	20	2	200	14	4	0	1	1	1	1
150	1	"Bali"			52	5000	0	165	170	100	0	260	75	3	0	1	7	400	1600	100	2	160	10	3	0	6	6	6	6
151	1	"Soldier"		58	4000	0	175	180	110	0	290	86	3	0	4	7	400	1600	100	2	160	10	3	0	6	6	6	6

//White Wizard
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
135	1	"White Wizard"		87	26000	0	370	410	400	0	550	200	4	3	5	6	400	2200	10	2	150	50	4	0	15	15	20	15
136	1	"Orc Soldier of Doom"	70	9500	0	210	240	180	0	400	125	3	0	1	3	400	1500	10	2	300	200	3	0	7	7	7	7
137	1	"Orc Archer of Doom"	74	12000	0	220	260	190	0	440	130	3	0	5	5	400	1800	10	2	300	200	3	0	8	8	8	8

//Traps
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
100	1	"Lance"			80	1000	0	100	110	0	0	400	500	0	0	4	1	500	1000	3	1	200	10	0	0	0	0	0	0
101	1	"Iron Stick"		80	1000	0	110	130	0	0	400	500	0	0	0	1	500	1000	3	1	200	10	0	0	0	0	0	0
102	1	"Fire"			80	1000	0	130	150	0	0	400	500	0	0	2	1	500	1000	3	1	200	10	0	0	0	0	0	0
103	1	"Meteorite"		90	1000	0	160	190	0	0	450	500	0	50	0	1	500	1000	3	1	200	10	0	0	0	0	0	0
104	1	"Trap"			2	50	0	500	600	0	0	800	30	0	50	0	1	0	1000	0	0	0	0	0	0	0	0	0	0
105	1	"Canon Trap"		80	1000	0	200	203	0	0	400	500	0	0	4	2	500	1000	3	1	200	10	0	0	0	0	0	0
106	1	"Laser Trap"		80	1000	0	150	152	0	0	400	500	0	0	1	1	500	1000	3	1	200	10	0	0	0	0	0	0

//NPCs
//==================================================================================================================================================================================================================================================
//Numb	Rate	Name				Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense					Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==================================================================================================================================================================================================================================================
200	1	"Soccer Ball"			12	1000	0	150	200	0	0	60	500	0	0	4	1	500	1000	3	1	200	10	0	0	0	0	0	0
226	1	"Trainer"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
229	1	"Marlon"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
230	1	"Wandering Merchant Alex"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
231	1	"Thompson Kenel"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
232	1	"Archangel"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
233	1	"Messenger of Archangel"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
234	1	"Pet Trainer"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
235	1	"Sebina the Priest"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
236	1	"Golden Archer"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
237	1	"Charon"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
238	1	"Chaos Goblin"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
239	1	"Arena Guard"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
240	1	"Safety Guardian"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
241	1	"Royal Captain Lorence"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
242	1	"Elf Lala"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
243	1	"Eo the Craftsman"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
244	1	"Liam the Barmaid"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
245	1	"Wizard Izabel"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
246	1	"Weapons Merchant Zienna"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
247	1	"Crossbow Guard"		90	10000	0	180	195	70	20	300	100	5	0	5	5	400	1500	10	1	200	10	0	0	0	0	0	0
248	1	"Wandering Merchant"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
249	1	"Berdysh Guard"			90	10000	0	180	195	70	20	300	100	5	0	5	5	400	1500	10	1	200	10	0	0	0	0	0	0
250	1	"Wandering Merchant"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1000	10	0	200	10	0	0	0	0	0	0
251	1	"Hanzo the Blacksmith"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
253	1	"Potion Girl Amy"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
254	1	"Pasi the Mage"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
255	1	"Lumen the Barmaid"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
256	1	"Lahap"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
257	1	"Shadow Phantom Soldier"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
258	1	"Luke the Helper"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
259	1	"Oracle Layla"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
371	1	"Elite Soldier"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
372	1	"Elite Skull Soldier"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
373	1	"Jack O'Latern"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
374	1	"Santa Girl"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
375	1	"Chaos Card Master"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
376	1	"Pamela the Supplier"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
377	1	"Angela the Supplier"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
378	1	"Game Master"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
379	1	"Natasha the Merchant"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0

//Castle Siege NPCs
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
215	1	"Shield"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
216	1	"Crown"			2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	1	"Crown Switch"		2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
218	1	"Crown Switch 2"	2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
219	1	"Castle Gate Switch"	2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220	1	"Guard"			2	50	0	15	30	70	20	10	30	0	0	0	0	400	1500	0	0	0	0	0	0	0	0	0	0
221	1	"Slingshot Attack"	2	50	0	15	30	70	20	10	30	0	0	0	0	400	1500	0	0	0	0	0	0	0	0	0	0
222	1	"Slingshot Defense"	2	50	0	15	30	70	20	10	30	0	0	0	0	400	1500	0	0	0	0	0	0	0	0	0	0
223	1	"Senior"		2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	1	"Guardsman"		2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277	1	"Castle Gate"		2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278	1	"Life Stone"		2	250000	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
283	1	"Guardian Statue"	2	50	0	15	30	70	20	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
285	1	"Guardian"		2	30000	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
286	1	"Archer"		100	23000	0	340	390	340	0	520	190	0	0	6	7	400	2000	0	2	0	0	0	0	7	7	7	7
287	1	"Spearman"		100	26000	0	390	430	380	0	590	200	0	0	1	3	400	1600	0	2	0	0	0	0	7	7	7	7
288	1	"Canon Tower"		2	50	0	575	610	500	20	1000	30	0	150	7	6	400	2000	0	0	0	0	0	0	0	0	0	0

//Land of Trials Monsters
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
290	1	"Lizard Warrior"	78	15000	0	270	320	210	0	3000	3000	3	0	1	5	400	1400	10	2	200	14	3	0	26	26	26	26
291	1	"Fire Golem"		102	55000	0	560	600	550	0	3000	3000	3	0	1	7	500	1600	10	2	150	50	4	0	29	29	29	29
292	1	"Queen Bee"		92	34500	0	489	540	360	0	3000	3000	3	3	5	5	500	2000	10	2	180	14	3	0	28	28	28	28
293	1	"Poison Golem"		84	25000	0	375	425	275	0	3000	3000	3	17	4	6	500	2000	10	2	180	30	3	0	27	27	27	27
294	1	"Axe Warrior"		75	11500	0	255	290	195	0	3000	3000	3	0	1	5	400	1400	10	2	200	14	3	0	25	25	25	25
295	1	"Erohim"		128	3000000	0	1500	2000	1000	0	5000	5000	3	150	6	8	650	1600	43200	2	100	30	4	0	100	254	100	100

//Loren Deep Boss
//==========================================================================================================================================================================================================================================
//Numb	Rate	Name			Level	Life	Mana	Min	Max	Defense	Magic	Attack	Success	Move	Attrib	Attrib	View	Move	Attrib	Regen	Attri	Item	Money	Max	Res	Res	Res	Res	Res
//								Damage	Damage		Defense				Type	Range	Range	Speed	Speed	Time	Rate	Rate	Rate	Items	Wind	Poison	Ice	Water	Fire
//==========================================================================================================================================================================================================================================
